Estado,No cultivo,Cultivo,Tipo / Variedad,Superficie Sembrada (ha),Superficie Cosechada (ha),Superficie Siniestrada (ha),Unidad de medida,Producción,Rendimiento (udm/ha),PMR ($/udm),Valor Producción  (miles de Pesos)
MORELOS,63,MANGO,Mango criollo,349.8,348.8,0,Tonelada,5069.95,14.54,3342.96,16948.64
MORELOS,64,MANGO,Mango paraíso (petacón),4,4,0,Tonelada,49.2,12.3,5199.92,255.84
MORELOS,65,MANZANA,Manzana criolla,8,8,0,Tonelada,93.83,11.73,6741.02,632.51
MORELOS,66,MANZANILLA,Manzanilla s/clasificar,18,18,0,Tonelada,75.6,4.2,8600,650.16
MORELOS,67,MEMBRILLO,Membrillo s/clasificar,5,5,0,Tonelada,26.05,5.21,10902.4,284.01
MORELOS,68,NANCHE,Nanche s/clasificar,42.7,41.7,0,Tonelada,242.27,5.81,4120.9,998.37
MORELOS,69,NARANJA,Naranja valencia,179.7,177.7,0,Tonelada,4919.98,27.69,2495.95,12280.04
MORELOS,70,NARDO (GRUESA),Nardo (gruesa) s/clasificar,183.3,183.3,0,Gruesa,214210.4,1168.63,190.21,40744.6
MORELOS,71,NOCHEBUENA (PLANTA),Noche buena (planta) invernadero,100.7,100.7,0,Planta,5981070,59394.94,26.32,157409.45
MORELOS,72,NOPALITOS,Nopalitos s/clasificar,3913,3905,0,Tonelada,375437,96.14,1510.81,567215.03
MORELOS,73,NUEZ,Nuez encarcelada (pecanera),12,12,0,Tonelada,38.96,3.25,33703.29,1313.08
MORELOS,74,OKRA (ANGÚ O GOMBO),Okra (angú o gombo) s/clasificar,378,378,0,Tonelada,4501.25,11.91,4988.93,22456.42
MORELOS,75,PÁPALO,Pápalo s/clasificar,74.6,74.6,0,Tonelada,1345.3,18.03,2931.91,3944.29
MORELOS,76,PAPAYA,Papaya maradol,122.8,120.8,0,Tonelada,4089.43,33.85,5529.98,22614.48
MORELOS,77,PASTO TAPETE (M2),Pasto tapete (m2) s/clasificar,184,184,0,Metro cuadrado,1806908,9820.15,25.83,46671.66
MORELOS,78,PASTOS Y PRADERAS,Pastos y praderas bermuda,18,18,0,Tonelada,207.36,11.52,925.17,191.84
MORELOS,79,PASTOS Y PRADERAS,Pastos y praderas buffel,135.5,135.5,0,Tonelada,2197.2,16.22,547.28,1202.47
MORELOS,80,PASTOS Y PRADERAS,Pastos y praderas llanero,1676.7,1675.5,0,Tonelada,23349.92,13.94,582.58,13603.29
MORELOS,81,PEPINO,Pepino americano chino,1496.4,1496.4,0,Tonelada,27390.61,18.3,4516.87,123719.82
MORELOS,82,PEPINO,Pepino americano chino invernadero,50.5,50.5,0,Tonelada,8003.2,158.48,5070.47,40580
MORELOS,83,PERA,Pera s/clasificar,380,380,0,Tonelada,2009.72,5.29,6425.38,12913.21
MORELOS,84,PITAYA,Pitaya criolla,14,14,0,Tonelada,82.6,5.9,4466.34,368.92
MORELOS,85,PLÁTANO,Plátano tabasco,11,11,0,Tonelada,324.5,29.5,4393.29,1425.62
MORELOS,86,POLAR (GRUESA),Polar (gruesa) s/clasificar,6.5,6.5,0,Gruesa,8489,1306,96.77,821.48
MORELOS,87,RÁBANO,Rabanito,11,11,0,Tonelada,242,22,5000,1210
MORELOS,88,RÁBANO,Rábano s/clasificar,4.5,4.5,0,Tonelada,116.1,25.8,8000,928.8
MORELOS,89,ROSA (GRUESA),Rosa (gruesa) s/clasificar,356,356,0,Gruesa,725525,2037.99,170.34,123587.23
MORELOS,90,SÁBILA,Sábila s/clasificar,72,68,0,Tonelada,3474,51.09,3438.73,11946.16
MORELOS,91,SANDÍA,Sandía cambray (sangría),83.1,83.1,0,Tonelada,1703.3,20.5,4140.16,7051.93
MORELOS,92,SANDÍA,Sandía charleston (gray),7.5,7.5,0,Tonelada,121.8,16.24,4713.33,574.08
MORELOS,93,SEMILLA DE CAÑA DE AZÚCAR,Semilla de caña de azúcar s/clasificar,415,415,0,Tonelada,49195,118.54,1017.28,50045.03
MORELOS,94,SORGO FORRAJERO EN VERDE,Sorgo forrajero en verde s/clasificar,352.8,352.8,0,Tonelada,15329.92,43.45,509.94,7817.3
MORELOS,95,SORGO GRANO,Sorgo grano s/clasificar,33068.8,33047.1,21.7,Tonelada,186591.91,5.65,3308.47,617333.12
MORELOS,96,TAMARINDO,Tamarindo s/clasificar,25.1,24.1,0,Tonelada,76.41,3.17,4145.63,316.77
MORELOS,97,TERCIOPELO (MANOJO),Terciopelo (manojo) s/clasificar,9.2,9.2,0,Manojo,9218,1001.96,40,368.72
MORELOS,98,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) saladette,2089.8,2089.8,0,Tonelada,51318.58,24.56,5484.12,281437.44
MORELOS,99,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) saladette invernadero,275.6,275.6,0,Tonelada,64641.53,234.55,7286.54,471013.04
MORELOS,100,TOMATE VERDE,Tomate verde s/clasificar,1613.8,1613.8,0,Tonelada,22610.31,14.01,4775.57,107977.18
MORELOS,101,TORONJA (POMELO),Toronja (pomelo) ruby red,5,5,0,Tonelada,130.5,26.1,2500,326.25
MORELOS,102,TRIGO GRANO,Trigo grano suave,131,41,90,Tonelada,131.2,3.2,3237.8,424.8
MORELOS,103,VERDOLAGA,Verdolaga s/clasificar,207,207,0,Tonelada,3082.8,14.89,3322.4,10242.29
MORELOS,104,YUCA ALIMENTICIA,Yuca alimenticia s/clasificar,140.5,140.5,0,Tonelada,1868.4,13.3,3779.23,7061.12
MORELOS,105,ZAPOTE,Zapote chico (chico zapote),28.5,27.5,0,Tonelada,298.2,10.84,4902.11,1461.81
MORELOS,106,ZARZAMORA,Zarzamora s/clasificar,11.5,11.5,0,Tonelada,35.88,3.12,14203.76,509.63
MORELOS,107,ZEMPOALXOCHITL,Zempoalxochitl s/clasificar,21,21,0,Tonelada,203,9.67,4922.41,999.25
NAYARIT,1,AGAVE,Agave tequilero,6291.44,1024.5,0,Tonelada,35398.39,34.55,12146.88,429979.83
NAYARIT,2,AGUACATE,Aguacate criollo,802.5,802.5,0,Tonelada,10086.22,12.57,7054.28,71151
NAYARIT,3,AGUACATE,Aguacate hass,5307.18,4249.72,0,Tonelada,38997.8,9.18,12855.52,501337.02
NAYARIT,4,AGUACATE,Aguacate hass orgánico,19.8,19.8,0,Tonelada,161.77,8.17,21689,3508.63
NAYARIT,5,AJONJOLÍ,Ajonjolí s/clasificar,195,57,138,Tonelada,31.65,0.56,16000,506.4
NAYARIT,6,ALBAHACA,Albahaca s/clasificar,35,35,0,Tonelada,315,9,12044.45,3794
NAYARIT,7,ALFALFA VERDE,Alfalfa verde s/clasificar,90,90,0,Tonelada,3345,37.17,623.98,2087.2
NAYARIT,8,ARRAYÁN,Arrayán s/clasificar,94,94,0,Tonelada,184.8,1.97,10647.32,1967.62
NAYARIT,9,ARROZ PALAY,Arroz palay grueso milagro filipino,10317.2,10317.2,0,Tonelada,65529.31,6.35,4196.31,274981.12
NAYARIT,10,BABY BACK CHOI,Baby back choi s/clasificar,21,21,0,Tonelada,189,9,7689,1453.22
NAYARIT,11,BERENJENA,Berenjena s/clasificar,82,82,0,Tonelada,1529.44,18.65,6350.43,9712.6
NAYARIT,12,CACAHUATE,Cacahuate s/clasificar,855.5,855.5,0,Tonelada,1888.83,2.21,21198.11,40039.64
NAYARIT,13,CAFÉ CEREZA,Café cereza orgánico,4636,4566,0,Tonelada,3340.8,0.73,8414.82,28112.22
NAYARIT,14,CAFÉ CEREZA,Café cereza s/clasificar,12474.99,11784.99,0,Tonelada,10712.94,0.91,6790.74,72748.76
NAYARIT,15,CALABACITA,Calabacita criolla,17,17,0,Tonelada,164.6,9.68,4015.14,660.89
NAYARIT,16,CALABACITA,Calabacita italiana (zucchini),49,49,0,Tonelada,522.03,10.65,2706.15,1412.69
NAYARIT,17,CALABAZA,Calabaza criolla,102.5,102.5,0,Tonelada,1463.34,14.28,2440.77,3571.68
NAYARIT,18,CALABAZA,Calabaza kabocha,2,2,0,Tonelada,32,16,6800,217.6
NAYARIT,19,CALABAZA SEMILLA O CHIHUA,Calabaza semilla o chihua s/clasificar,889,889,0,Tonelada,379.7,0.43,28723.44,10906.29
NAYARIT,20,CAMOTE,Camote s/clasificar,104.5,104.5,0,Tonelada,1658.33,15.87,5528.11,9167.43
NAYARIT,21,CAÑA DE AZÚCAR,Caña de azúcar industrial,31389.68,30465.83,0,Tonelada,2687864.83,88.23,796.73,2141505.97
NAYARIT,22,CAÑA DE AZÚCAR FORRAJERA,Caña de azúcar forrajera s/clasificar,21,21,0,Tonelada,1428,68,540.95,772.48
NAYARIT,23,CAÑA DE AZÚCAR FRUTA,Caña de azúcar fruta s/clasificar,599,576,0,Tonelada,47485,82.44,1431.72,67985.44
NAYARIT,24,CAÑA DE AZÚCAR PILONCILLO,Caña de azúcar piloncillo s/clasificar,329,312,0,Tonelada,29638.5,95,556,16479.01
NAYARIT,25,CARAMBOLO,Carambolo s/clasificar,7,7,0,Tonelada,28.44,4.06,2670.31,75.94
NAYARIT,26,CHILE SECO,Chile seco de árbol (cola de rata),155,155,0,Tonelada,161.9,1.04,43697.7,7074.66
NAYARIT,27,CHILE VERDE,Chile verde anaheim,2,2,0,Tonelada,36,18,5513.89,198.5
NAYARIT,28,CHILE VERDE,Chile verde caloro,16,16,0,Tonelada,433.28,27.08,4110.8,1781.13
NAYARIT,29,CHILE VERDE,Chile verde cristal,13,13,0,Tonelada,391.43,30.11,4131.67,1617.26
NAYARIT,30,CHILE VERDE,Chile verde de árbol (cola de rata),530,530,0,Tonelada,5483.53,10.35,6737.47,36945.14
NAYARIT,31,CHILE VERDE,Chile verde habanero,68.5,68.5,0,Tonelada,1462.3,21.35,23714.52,34677.74
NAYARIT,32,CHILE VERDE,Chile verde jalapeño,253,253,0,Tonelada,5914.12,23.38,4122.89,24383.26
NAYARIT,33,CHILE VERDE,Chile verde morrón (bell pepper),3,3,0,Tonelada,45,15,8600,387
NAYARIT,34,CHILE VERDE,Chile verde morrón (bell pepper) invernadero exportación,1,1,0,Tonelada,70,70,22214.29,1555
NAYARIT,35,CHILE VERDE,Chile verde serrano,158,158,0,Tonelada,3382.13,21.41,6701.89,22666.66
NAYARIT,36,CIRUELA,Ciruela del país,395.25,387.25,0,Tonelada,1849.3,4.78,3799.77,7026.92
NAYARIT,37,COCO FRUTA,Coco fruta s/clasificar,826,775,0,Tonelada,11972.46,15.45,1815.22,21732.7
NAYARIT,38,COL (REPOLLO),Col (repollo) blanca,1.5,1.5,0,Tonelada,23.66,15.77,2153.65,50.96
NAYARIT,39,DURAZNO,Durazno criollo,3,3,0,Tonelada,24,8,6200,148.8
NAYARIT,40,DURAZNO,Durazno diamante,184.28,184.28,0,Tonelada,666.63,3.62,7506.37,5003.97
NAYARIT,41,EJOTE,Ejote s/clasificar,90.5,90.5,0,Tonelada,1127.19,12.46,6001.23,6764.52
NAYARIT,42,ELOTE,Elote s/clasificar,3497,3497,0,Tonelada,47844.39,13.68,1425.55,68204.75
NAYARIT,43,ESPINACA,Espinaca exportación,23,23,0,Tonelada,357,15.52,9951,3552.51
NAYARIT,44,FRIJOL,Frijol azufrado,15855.85,15131.19,724.66,Tonelada,15847.71,1.05,16679.25,264327.89
NAYARIT,45,FRIJOL,Frijol bayo,9,9,0,Tonelada,14.4,1.6,16500,237.6
NAYARIT,46,FRIJOL,Frijol bayo berrendo,1701,1571.77,129.23,Tonelada,1483.67,0.94,12124,17988.02
NAYARIT,47,FRIJOL,Frijol cacahuate,30,30,0,Tonelada,32.18,1.07,17742.57,570.96
NAYARIT,48,FRIJOL,Frijol flor de junio,1311,1268.5,42.5,Tonelada,1344.47,1.06,14432.06,19403.48
NAYARIT,49,FRIJOL,Frijol flor de mayo,352,352,0,Tonelada,394.5,1.12,15022.64,5926.43
NAYARIT,50,FRIJOL,Frijol marcela,3681.75,3627.69,54.06,Tonelada,4899.97,1.35,14940.33,73207.15
NAYARIT,51,FRIJOL,Frijol mayocoba,2244.6,2244.6,0,Tonelada,2732.02,1.22,19090.92,52156.78
NAYARIT,52,FRIJOL,Frijol negro jamapa,18853.5,17936.84,916.66,Tonelada,16871.04,0.94,15017.2,253355.77
NAYARIT,53,FRIJOL,Frijol peruano,6526.5,5666.21,860.29,Tonelada,7711.78,1.36,18328.99,141349.17
NAYARIT,54,FRIJOL,Frijol pinto americano,477,477,0,Tonelada,626.33,1.31,15793.3,9891.81
NAYARIT,55,FRIJOL,Frijol pinto nacional,3489,3367,122,Tonelada,3924.47,1.17,16411.25,64405.45
NAYARIT,56,FRIJOL,Frijol pinto saltillo,3354,3286,68,Tonelada,4458.06,1.36,15202.5,67773.65
NAYARIT,57,GAI LAN (KAY LAAN),Gai lan (kay laan) s/clasificar,56.81,56.81,0,Tonelada,828.06,14.58,14168.92,11732.72
NAYARIT,58,GARBANZO FORRAJERO,Garbanzo forrajero s/clasificar,116.5,116.5,0,Tonelada,855.1,7.34,732.89,626.7
NAYARIT,59,GARBANZO GRANO,Garbanzo grano blanco,2918.16,1830.55,1087.61,Tonelada,1044.21,0.57,22924.61,23938.11
NAYARIT,60,GUAMÚCHIL,Guamúchil s/clasificar,11,11,0,Tonelada,21.45,1.95,8582.45,184.09
NAYARIT,61,GUANÁBANA,Guanábana s/clasificar,2529.94,2097.94,0,Tonelada,21810.86,10.4,9152.53,199624.62
NAYARIT,62,GUAYABA,Guayaba china,1,1,0,Tonelada,11.58,11.58,5300,61.37
NAYARIT,63,GUAYABA,Guayaba criolla,41,41,0,Tonelada,316.02,7.71,4057.95,1282.39
NAYARIT,64,HIGUERILLA,Higuerilla s/clasificar,340,340,0,Tonelada,1196.8,3.52,10500,12566.4
NAYARIT,65,JACA (JACKFRUIT),Jaca (jackfruit) s/clasificar,1383.7,1121.45,0,Tonelada,20360.33,18.16,6539.21,133140.39
NAYARIT,66,JAMAICA,Jamaica s/clasificar,282.5,282.5,0,Tonelada,128.62,0.46,61461.59,7905.19
NAYARIT,67,JÍCAMA,Jícama s/clasificar,2419,2378,41,Tonelada,86039.46,36.18,1852.24,159366.15
NAYARIT,68,LECHUGA,Lechuga orejona,52,52,0,Tonelada,1374.88,26.44,4189.76,5760.42
NAYARIT,69,LECHUGA,Lechuga romana,1.5,1.5,0,Tonelada,28.32,18.88,2970.84,84.13
NAYARIT,70,LIMA,Lima s/clasificar,25,25,0,Tonelada,140.49,5.62,2525.56,354.82
NAYARIT,71,LIMÓN,Limón agrio (mexicano),145.31,130.31,0,Tonelada,929.17,7.13,3405.95,3164.7
NAYARIT,72,LIMÓN,Limón persa,2374.33,2257.33,0,Tonelada,20983.79,9.3,4158.89,87269.27
NAYARIT,73,LIMÓN,Limón persa orgánico,2,1,0,Tonelada,7.89,7.89,5209.56,41.1
NAYARIT,74,LITCHI,Litchi orgánico,3.09,3.09,0,Tonelada,9.52,3.08,17300,164.7
NAYARIT,75,LITCHI,Litchi s/clasificar,190.25,164.75,0,Tonelada,522.25,3.17,16249.83,8486.48
NAYARIT,76,MAÍZ FORRAJERO EN VERDE,Maíz forrajero en verde s/clasificar,8940,8940,0,Tonelada,330378.34,36.96,505.12,166879.49
NAYARIT,77,MAÍZ GRANO,Maíz grano amarillo,3536,3536,0,Tonelada,22284.02,6.3,3555.75,79236.42
NAYARIT,78,MAÍZ GRANO,Maíz grano blanco,32088.5,32088.5,0,Tonelada,135737.48,4.23,3518.7,477619.18
NAYARIT,79,MALANGA,Malanga s/clasificar,102,102,0,Tonelada,3924,38.47,7231,28374.44
NAYARIT,80,MANDARINA,Mandarina criolla,3.25,3.25,0,Tonelada,17.19,5.29,2065.1,35.5
NAYARIT,81,MANGO,Mango ataulfo,11878.66,11521.66,0,Tonelada,135086.45,11.72,2161.09,291934.64
NAYARIT,82,MANGO,Mango ataulfo orgánico,94.5,94.5,0,Tonelada,760.96,8.05,5017.83,3818.37
NAYARIT,83,MANGO,Mango criollo,255.4,255.4,0,Tonelada,2145.69,8.4,1987.47,4264.49
NAYARIT,84,MANGO,Mango haden,1312.16,1305.16,0,Tonelada,16044.02,12.29,2274.5,36492.06
NAYARIT,85,MANGO,Mango keitt,1654.42,1551.42,0,Tonelada,20970.52,13.52,2295.74,48142.89
NAYARIT,86,MANGO,Mango keitt orgánico,26,26,0,Tonelada,264.68,10.18,2085.95,552.11
NAYARIT,87,MANGO,Mango kent,3843.43,3732.43,0,Tonelada,55010.82,14.74,2557.27,140677.55
NAYARIT,88,MANGO,Mango manila,1601.01,1590.01,0,Tonelada,16089.83,10.12,2263.99,36427.25
NAYARIT,89,MANGO,Mango tommy atkins,5893.53,5789.53,0,Tonelada,77071.38,13.31,2070.93,159609.28
NAYARIT,90,MANGO,Mango tommy atkins orgánico,36.5,36.5,0,Tonelada,309.52,8.48,4614.22,1428.19
NAYARIT,91,MELÓN,Melón cantaloupe,118,118,0,Tonelada,1912.7,16.21,3480.32,6656.8
NAYARIT,92,MELÓN AMARGO,Melón amargo s/clasificar,101.5,101.5,0,Tonelada,4431.18,43.66,10854.43,48097.93
NAYARIT,93,NANCHE,Nanche s/clasificar,220.5,220.5,0,Tonelada,957.22,4.34,4626.27,4428.35
NAYARIT,94,NAPA,Napa s/clasificar,39,39,0,Tonelada,372.84,9.56,8341,3109.86
NAYARIT,95,NARANJA,Naranja criolla,6.5,3,0,Tonelada,10.65,3.55,2835,30.19
NAYARIT,96,NARANJA,Naranja valencia,82.16,82.16,0,Tonelada,626.39,7.62,2152.8,1348.49
NAYARIT,97,NONI,Noni s/clasificar,21.3,21.3,0,Tonelada,118.15,5.55,2856.1,337.45
NAYARIT,98,NOPALITOS,Nopalitos s/clasificar,35.44,35.44,0,Tonelada,271.69,7.67,3212.83,872.89
NAYARIT,99,OKRA (ANGÚ O GOMBO),Okra (angú o gombo) s/clasificar,120,120,0,Tonelada,1443.45,12.03,4504.84,6502.52
NAYARIT,100,PAPAYA,Papaya hawaiana,2,2,0,Tonelada,45,22.5,2740,123.3
NAYARIT,101,PAPAYA,Papaya maradol,229.5,227.5,0,Tonelada,5527.58,24.3,4147.02,22922.96
NAYARIT,102,PAPAYA,Papaya roja,36,36,0,Tonelada,1170,32.5,3319.83,3884.2
NAYARIT,103,PASTO TAPETE (M2),Pasto tapete (m2) s/clasificar,10,5,0,Metro cuadrado,49750,9950,23.01,1144.75
NAYARIT,104,PASTOS Y PRADERAS,Pastos y praderas estrella,436.9,428.9,0,Tonelada,11105.27,25.89,206.74,2295.93
NAYARIT,105,PASTOS Y PRADERAS,Pastos y praderas llanero,80213.5,80124.5,0,Tonelada,1583442.15,19.76,266.72,422333.38
NAYARIT,106,PEPINO,Pepino americano chino,6,6,0,Tonelada,139.32,23.22,5770.81,803.99
NAYARIT,107,PEPINO,Pepino pickle,176,176,0,Tonelada,2710.33,15.4,3813.86,10336.82
NAYARIT,108,PEPINO,Pepino pickle invernadero,0.5,0.5,0,Tonelada,34.39,68.78,2750.86,94.6
NAYARIT,109,PIÑA,Piña cayena lisa,764,393,0,Tonelada,28753,73.16,5207.36,149727.36
NAYARIT,110,PIÑA,Piña criolla,1027.58,1013.58,0,Tonelada,17691.5,17.45,3266.64,57791.8
NAYARIT,111,PITAYA,Pitaya criolla,25.5,21.5,0,Tonelada,170.8,7.94,8641.56,1475.98
NAYARIT,112,PLANTERO DE TABACO (PLANTA),Plantero de tabaco (planta) s/clasificar,29.6,29.6,0,Planta,133746210,4518453.04,0.25,34049.93
NAYARIT,113,PLÁTANO,Plátano enano gigante,117.56,108.56,0,Tonelada,1340.44,12.35,2910.81,3901.77
NAYARIT,114,PLÁTANO,Plátano macho,201.5,201.5,0,Tonelada,2237.93,11.11,3391.26,7589.41
NAYARIT,115,PLÁTANO,Plátano manzano,1033,1033,0,Tonelada,10862.95,10.52,4508.81,48978.97
NAYARIT,116,PLÁTANO,Plátano manzano orgánico,1,1,0,Tonelada,9.98,9.98,5125,51.15
NAYARIT,117,PLÁTANO,Plátano morado,8,8,0,Tonelada,74.96,9.37,3770.58,282.64
NAYARIT,118,PLÁTANO,Plátano pera,1281,1277,0,Tonelada,17747.17,13.9,1514.04,26869.88
NAYARIT,119,PLÁTANO,Plátano thai,158,158,0,Tonelada,1566.44,9.91,3480.23,5451.57
NAYARIT,120,RAMBUTÁN,Rambután s/clasificar,2,2,0,Tonelada,12.88,6.44,12259,157.9
NAYARIT,121,SANDÍA,Sandía cambray (sangría),3637,3237,400,Tonelada,61055.5,18.86,3097.08,189093.98
NAYARIT,122,SEMILLA DE CAÑA DE AZÚCAR,Semilla de caña de azúcar s/clasificar,699.59,685.59,0,Tonelada,58815.33,85.79,798.28,46950.82
NAYARIT,123,SEMILLA DE FRIJOL,Semilla de frijol negro jamapa,112,112,0,Tonelada,172.64,1.54,18297.09,3158.81
NAYARIT,124,SEMILLA DE FRIJOL,Semilla de frijol peruano,2,2,0,Tonelada,3.2,1.6,25000,80
NAYARIT,125,SEMILLA DE JÍCAMA,Semilla de jícama s/clasificar,4,4,0,Tonelada,4.36,1.09,216000,941.76
NAYARIT,126,SEMILLA DE MAÍZ GRANO,Semilla de maíz grano amarillo,159,159,0,Tonelada,574.06,3.61,12513.65,7183.59
NAYARIT,127,SEMILLA DE MAÍZ GRANO,Semilla de maíz grano blanco,3142.5,3142.5,0,Tonelada,11493.2,3.66,12073.83,138766.97
NAYARIT,128,SEMILLA DE SOYA,Semilla de soya s/clasificar,1.8,1.8,0,Tonelada,2.07,1.15,10000,20.7
NAYARIT,129,SHANGAI-BOCK-CHOY,Shangai-bock-choy s/clasificar,20.81,20.81,0,Tonelada,170,8.17,4582.02,778.94
NAYARIT,130,SORGO ESCOBERO,Sorgo escobero s/clasificar,71,71,0,Tonelada,52.59,0.74,13000,683.67
NAYARIT,131,SORGO FORRAJERO EN VERDE,Sorgo forrajero en verde s/clasificar,1631.5,1631.5,0,Tonelada,40126.43,24.59,533.05,21389.52
NAYARIT,132,SORGO GRANO,Sorgo grano s/clasificar,53286.39,52545.89,740.5,Tonelada,194746.85,3.71,3324.99,647530.52
NAYARIT,133,STEVIA,Stevia s/clasificar,27,27,0,Tonelada,324,12,12981.48,4206
NAYARIT,134,TABACO,Tabaco s/clasificar,6287,6287,0,Tonelada,15441.19,2.46,31240.38,482388.64
NAYARIT,135,TAMARINDO,Tamarindo s/clasificar,54,54,0,Tonelada,179.46,3.32,6167.35,1106.79
NAYARIT,136,TANGERINA,Tangerina s/clasificar,2,2,0,Tonelada,6,3,2000,12
NAYARIT,137,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) bola invernadero,38.5,38.5,0,Tonelada,9511,247.04,5261.64,50043.46
NAYARIT,138,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) bola invernadero exportación,2,2,0,Tonelada,200,100,22400,4480
NAYARIT,139,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) cherry invernadero,40,40,0,Tonelada,6120,153,6773.93,41456.45
NAYARIT,140,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) cherry invernadero exportación,13,13,0,Tonelada,975,75,22346.67,21788
NAYARIT,141,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) saladette,452,398,54,Tonelada,9894.25,24.86,3078.98,30464.24
NAYARIT,142,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) saladette invernadero,2,2,0,Tonelada,461.42,230.71,4744.95,2189.42
NAYARIT,143,TOMATE ROJO (JITOMATE),Tomate rojo (jitomate) saladette invernadero exportación,13,13,0,Tonelada,1040,80,22300,23192
NAYARIT,144,TOMATE VERDE,Tomate verde s/clasificar,2644,2566,78,Tonelada,36001.04,14.03,2688.36,96783.86
NAYARIT,145,TUNA,Tuna blanca cristalina,5,5,0,Tonelada,24.6,4.92,2232.93,54.93
NAYARIT,146,YU-CHOY,Yu-choy s/clasificar,127.5,127.5,0,Tonelada,2043.73,16.03,2272.36,4644.1
NAYARIT,147,ZARZAMORA,Zarzamora s/clasificar,2,0,0,Tonelada,0,0,0,0
NUEVO LEON,1,AGUACATE,Aguacate criollo,677.33,675.53,0,Tonelada,3083.69,4.56,8524.95,26288.3
NUEVO LEON,2,AJO,Ajo blanco,3,3,0,Tonelada,30,10,22000,660
NUEVO LEON,3,AJO,Ajo morado,168,168,0,Tonelada,1987.35,11.83,22992.6,45694.35
NUEVO LEON,4,ALFALFA VERDE,Alfalfa verde s/clasificar,2451,2451,0,Tonelada,143226.2,58.44,597.74,85611.35
NUEVO LEON,5,AVENA FORRAJERA EN VERDE,Avena forrajera en verde orgánico,20,20,0,Tonelada,390,19.5,950,370.5
NUEVO LEON,6,AVENA FORRAJERA EN VERDE,Avena forrajera en verde s/clasificar,1678.5,1503.5,175,Tonelada,15972.5,10.62,427.47,6827.72
NUEVO LEON,7,AVENA GRANO,Avena grano s/clasificar,510,510,0,Tonelada,705.5,1.38,4149.55,2927.51
NUEVO LEON,8,CACAHUATE,Cacahuate s/clasificar,30,30,0,Tonelada,33,1.1,9500,313.5
NUEVO LEON,9,CALABACITA,Calabacita italiana (zucchini),378,378,0,Tonelada,9456,25.02,6787.99,64187.28
NUEVO LEON,10,CALABACITA,Calabacita italiana (zucchini) invernadero,2,2,0,Tonelada,70,35,7500,525
NUEVO LEON,11,CALABAZA,Calabaza de castilla,50,50,0,Tonelada,751,15.02,2160.23,1622.33
NUEVO LEON,12,CEBADA FORRAJERA EN VERDE,Cebada forrajera en verde s/clasificar,67,67,0,Tonelada,506,7.55,495.06,250.5
NUEVO LEON,13,CEBADA GRANO,Cebada grano s/clasificar,7,0,7,Tonelada,0,0,0,0
NUEVO LEON,14,CEBOLLA,Cebolla cambray,7,7,0,Tonelada,91,13,5000,455
NUEVO LEON,15,CHABACANO,Chabacano s/clasificar,1,1,0,Tonelada,1.4,1.4,8860,12.4
NUEVO LEON,16,CHILE VERDE,Chile verde habanero invernadero,3.25,3.25,0,Tonelada,252.8,77.78,14270.89,3607.68
NUEVO LEON,17,CHILE VERDE,Chile verde jalapeño,467,467,0,Tonelada,16098,34.47,8390.62,135072.24
NUEVO LEON,18,CHILE VERDE,Chile verde morrón (bell pepper) invernadero,15,15,0,Tonelada,3300,220,11950,39435
NUEVO LEON,19,CHILE VERDE,Chile verde morrón (bell pepper) malla sombra,29,29,0,Tonelada,1125.2,38.8,12000,13502.4
NUEVO LEON,20,CHILE VERDE,Chile verde poblano malla sombra,18,18,0,Tonelada,972,54,10500,10206
NUEVO LEON,21,CHILE VERDE,Chile verde serrano,156,156,0,Tonelada,4809,30.83,8263.82,39740.72
NUEVO LEON,22,CHILE VERDE,Chile verde serrano malla sombra,3,3,0,Tonelada,144,48,7800,1123.2
NUEVO LEON,23,CILANTRO,Cilantro s/clasificar,25,25,0,Tonelada,382,15.28,1990.25,760.28
NUEVO LEON,24,CIRUELA,Ciruela del país,75.5,60.5,0,Tonelada,146.9,2.43,6945.68,1020.32
NUEVO LEON,25,COL (REPOLLO),Col (repollo) blanca,495,495,0,Tonelada,21040,42.51,1536.2,32321.55
NUEVO LEON,26,COLIFLOR,Coliflor s/clasificar,4,4,0,Tonelada,93.6,23.4,6200,580.32
NUEVO LEON,27,DURAZNO,Durazno criollo,800.5,788.5,0,Tonelada,1091.8,1.38,7612.06,8310.85
NUEVO LEON,28,ELOTE,Elote s/clasificar,20,20,0,Tonelada,316,15.8,3900,1232.4
NUEVO LEON,29,FRIJOL,Frijol otros negros,100,100,0,Tonelada,75,0.75,9300,697.5
NUEVO LEON,30,FRIJOL,Frijol pinto americano,222,222,0,Tonelada,189.96,0.86,9973.23,1894.51
NUEVO LEON,31,FRIJOL,Frijol pinto nacional,1487,1307,180,Tonelada,580.36,0.44,10004.61,5806.28
NUEVO LEON,32,LIMÓN,Limón italiano,140,30,0,Tonelada,750,25,8000,6000
